Date,Close,Predictions
2014-12-08,188.93,184.25401
2014-12-09,187.44,184.69862
2014-12-10,185.08,185.0174
2014-12-11,186.71,185.07883
2014-12-12,186.73,185.08391
2014-12-15,184.35,185.0502
2014-12-16,183.22,184.83655
2014-12-17,184.79,184.45264
2014-12-18,186.19,184.09259
2014-12-19,186.75,183.86302
2014-12-22,187.06,183.76913
2014-12-23,187.19,183.78973
2014-12-24,187.36,183.89087
2014-12-26,187.24,184.04756
2014-12-29,187.1,184.22018
2014-12-30,185.84,184.38136
2014-12-31,186.4,184.4396
2015-01-02,184.69,184.467
2015-01-05,182.43,184.35687
2015-01-06,179.41,184.01892
2015-01-07,180.07,183.36108
2015-01-08,180.53,182.59238
2015-01-09,179.65,181.83386
2015-01-12,179.54,181.0759
2015-01-13,178.75,180.3656
2015-01-14,178.72,179.68259
2015-01-15,176.51,179.06279
2015-01-16,178.19,178.37947
2015-01-20,179.84,177.81517
2015-01-21,178.57,177.46947
2015-01-22,177.92,177.20116
2015-01-23,176.48,176.95973
2015-01-26,178.6,176.65662
2015-01-27,179.08,176.47385
2015-01-28,177.84,176.40721
2015-01-29,178.22,176.33746
2015-01-30,176.85,176.29674
2015-02-02,176.79,176.18562
2015-02-03,178.26,176.03418
2015-02-04,177.98,175.96246
2015-02-05,180.11,175.9259
2015-02-06,181.4,176.05496
2015-02-09,180.46,176.36316
2015-02-10,182.12,176.70259
2015-02-11,183.37,177.14969
2015-02-12,183.18,177.71448
2015-02-13,182.73,178.30219
2015-02-17,183.01,178.83534
2015-02-18,183.3,179.31595
2015-02-19,183.31,179.74846
2015-02-20,183.17,180.1211
2015-02-23,183.56,180.42131
2015-02-24,183.87,180.68147
2015-02-25,184.46,180.91887
2015-02-26,183.94,181.1652
2015-02-27,184.43,181.36612
2015-03-02,184.56,181.55864
2015-03-03,183.95,181.74092
2015-03-04,182.71,181.86424
2015-03-05,183.0,181.86064
2015-03-06,181.57,181.79749
2015-03-09,183.25,181.605
2015-03-10,182.52,181.45721
2015-03-11,181.2,181.29704
2015-03-12,180.49,181.05496
2015-03-13,178.91,180.7324
2015-03-16,179.96,180.27661
2015-03-17,178.92,179.8383
2015-03-18,179.79,179.3702
2015-03-19,178.06,178.97462
2015-03-20,179.52,178.5369
2015-03-23,178.93,178.20105
2015-03-24,177.75,177.91129
2015-03-25,177.75,177.59412
2015-03-26,176.93,177.28201
2015-03-27,177.13,176.93924
2015-03-30,177.76,176.61371
2015-03-31,177.96,176.36145
2015-04-01,177.48,176.18517
2015-04-02,177.46,176.03766
2015-04-06,177.8,175.9176
2015-04-07,178.02,175.84473
2015-04-08,178.57,175.82031
2015-04-09,177.35,175.86388
2015-04-10,176.03,175.86697
2015-04-13,176.32,175.75879
2015-04-14,176.46,175.60645
2015-04-15,176.83,175.44388
2015-04-16,177.58,175.30984
2015-04-17,177.88,175.25203
2015-04-20,177.68,175.26599
2015-04-21,178.47,175.31195
2015-04-22,180.22,175.42729
2015-04-23,180.06,175.6925
2015-04-24,180.62,176.02303
2015-04-27,181.33,176.41045
2015-04-28,182.33,176.85353
2015-04-29,183.69,177.3668
2015-04-30,183.31,177.9785
2015-05-01,181.89,178.58507
2015-05-04,181.6,179.05443
2015-05-05,181.95,179.3866
2015-05-06,182.07,179.63116
2015-05-07,182.66,179.81056
2015-05-08,184.83,179.97588
2015-05-11,187.09,180.2648
2015-05-12,187.73,180.76111
2015-05-13,187.58,181.3977
2015-05-14,188.02,182.07173
2015-05-15,187.75,182.75377
2015-05-18,187.76,183.37534
2015-05-19,187.07,183.91675
2015-05-20,188.42,184.32362
2015-05-21,189.57,184.70822
2015-05-22,188.17,185.12715
2015-05-26,189.34,185.44542
2015-05-27,189.8,185.75995
2015-05-28,189.76,186.07956
2015-05-29,189.75,186.37836
2015-06-01,189.71,186.64381
2015-06-02,190.33,186.86777
2015-06-03,190.45,187.09206
2015-06-04,191.04,187.3086
2015-06-05,191.7,187.54558
2015-06-08,191.1,187.82326
2015-06-09,191.25,188.06714
2015-06-10,190.49,188.28458
2015-06-11,191.5,188.41878
2015-06-12,191.99,188.5602
2015-06-15,192.47,188.72748
2015-06-16,193.02,188.93207
2015-06-17,195.31,189.18341
2015-06-18,195.19,189.60129
2015-06-19,194.75,190.08504
2015-06-22,195.14,190.54947
2015-06-23,194.87,190.99687
2015-06-24,194.53,191.38304
2015-06-25,194.64,191.68106
2015-06-26,194.93,191.91045
2015-06-29,192.77,192.09975
2015-06-30,192.27,192.10419
2015-07-01,192.28,191.9619
2015-07-02,192.07,191.73712
2015-07-06,191.26,191.46133
2015-07-07,189.5,191.11864
2015-07-08,185.39,190.64061
